森林戦１
騎兵が森マスでは「突撃」スキルが使用できない特性を\n活用してください

0,-1,1
6

3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3,3,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,2
3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
3,3,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
3,3,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2
3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3,3,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2

6,1,1,1
7,1,1,1
10,1,0,1
11,1,0,1
12,1,0,1
13,1,0,1
16,1,1,1
17,1,1,1
6,8,-1,0
7,8,-1,0
8,8,-1,0
6,9,-1,0
7,9,-1,0
8,9,-1,0
