ファランクス
槍兵に対して相性の良いユニットを使用してください

0,-1,0
6

3,3,3,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
3,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
3,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
3,3,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2
3,3,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
3,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
3,3,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2
3,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
3,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
3,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2

7,2,0,1
8,2,0,1
9,2,0,1
7,3,0,1
8,3,0,1
9,3,0,1
7,7,-1,0
8,7,-1,0
9,7,-1,0
7,8,-1,0
8,8,-1,0
9,8,-1,0
